engine_id,cylinder,label,severity,vote_confidence,label_vote_confidence,severity_vote_confidence,uncalibrated_probability_score,n_model_votes,suspicious_frequency_range,suspicious_columns,imputed_columns,n_imputed_measurements,peak_anomaly_score,direction,template_similarity,explanation,band_scores_json,confidence_optimization_applied,label_before_optimization,severity_before_optimization,confidence_before_optimization,confidence_after_optimization,confidence_gain,optimization_adjusted_columns,optimization_candidate_evaluations
test_0000,1,ok,nie_dotyczy,1.0,1.0,1.0,0.8170563319435296,51,brak,,,0,1.5052250977385975,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 1.1369, ""mV_1"": 1.1877, ""mV_2"": 1.1426, ""mV_3"": 1.4303, ""mV_4"": 1.5052, ""mV_5"": 1.4129, ""mV_6"": 1.3373, ""mV_7"": 1.272, ""mV_8"": 1.2466, ""mV_9"": 1.3154, ""mV_10"": 1.4354, ""mV_11"": 1.4787, ""mV_12"": 1.3851, ""mV_13"": 1.2444, ""mV_14"": 1.2487, ""mV_15"": 1.2953, ""mV_16"": 1.1746, ""mV_17"": 0.9543, ""mV_18"": 0.7297, ""mV_19"": 0.5729, ""mV_20"": 0.3795}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,2,ok,nie_dotyczy,1.0,1.0,1.0,0.7816578241629047,51,brak,,mV_18,1,1.6498484665634958,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.3945, ""mV_1"": 0.6708, ""mV_2"": 1.1444, ""mV_3"": 1.6498, ""mV_4"": 1.6151, ""mV_5"": 1.1844, ""mV_6"": 0.8363, ""mV_7"": 0.6164, ""mV_8"": 0.4638, ""mV_9"": 0.3053, ""mV_10"": 0.1647, ""mV_11"": 0.2474, ""mV_12"": 0.4401, ""mV_13"": 0.4121, ""mV_14"": 0.2639, ""mV_15"": 0.4426, ""mV_16"": 0.8558, ""mV_17"": 0.7927, ""mV_18"": null, ""mV_19"": 0.5549, ""mV_20"": 0.6179}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,3,ok,nie_dotyczy,1.0,1.0,1.0,0.8587124306777536,51,brak,,,0,0.7577564003301089,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.5983, ""mV_1"": 0.7451, ""mV_2"": 0.6531, ""mV_3"": 0.4425, ""mV_4"": 0.2102, ""mV_5"": 0.1512, ""mV_6"": 0.2217, ""mV_7"": 0.302, ""mV_8"": 0.3257, ""mV_9"": 0.3015, ""mV_10"": 0.247, ""mV_11"": 0.1545, ""mV_12"": 0.0649, ""mV_13"": 0.0746, ""mV_14"": 0.2849, ""mV_15"": 0.5681, ""mV_16"": 0.7578, ""mV_17"": 0.7428, ""mV_18"": 0.4604, ""mV_19"": 0.262, ""mV_20"": 0.2148}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,4,ok,nie_dotyczy,1.0,1.0,1.0,0.7800906932656836,51,brak,,,0,1.0536670774376735,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.3099, ""mV_1"": 0.8955, ""mV_2"": 1.0537, ""mV_3"": 0.7404, ""mV_4"": 0.656, ""mV_5"": 0.6552, ""mV_6"": 0.5642, ""mV_7"": 0.5967, ""mV_8"": 0.6928, ""mV_9"": 0.6323, ""mV_10"": 0.3452, ""mV_11"": 0.1144, ""mV_12"": 0.0954, ""mV_13"": 0.1834, ""mV_14"": 0.2941, ""mV_15"": 0.4316, ""mV_16"": 0.5341, ""mV_17"": 0.4173, ""mV_18"": 0.2381, ""mV_19"": 0.2187, ""mV_20"": 0.1964}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,5,ok,nie_dotyczy,1.0,1.0,1.0,0.802487262538437,51,brak,,"mV_5,mV_14",2,1.8159561514281286,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.6323, ""mV_1"": 1.2045, ""mV_2"": 1.3123, ""mV_3"": 0.9429, ""mV_4"": 0.5189, ""mV_5"": null, ""mV_6"": 0.6806, ""mV_7"": 0.9293, ""mV_8"": 0.9538, ""mV_9"": 0.9505, ""mV_10"": 0.9044, ""mV_11"": 0.8163, ""mV_12"": 0.78, ""mV_13"": 0.6184, ""mV_14"": null, ""mV_15"": 1.2297, ""mV_16"": 1.816, ""mV_17"": 1.7589, ""mV_18"": 1.4401, ""mV_19"": 1.1986, ""mV_20"": 0.8422}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,6,ok,nie_dotyczy,1.0,1.0,1.0,0.831949569465031,51,brak,,mV_6,1,0.52396527549675,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.0172, ""mV_1"": 0.0806, ""mV_2"": 0.2496, ""mV_3"": 0.4305, ""mV_4"": 0.4731, ""mV_5"": 0.3175, ""mV_6"": null, ""mV_7"": 0.0652, ""mV_8"": 0.0367, ""mV_9"": 0.0518, ""mV_10"": 0.1342, ""mV_11"": 0.1367, ""mV_12"": 0.0934, ""mV_13"": 0.084, ""mV_14"": 0.1429, ""mV_15"": 0.3042, ""mV_16"": 0.4939, ""mV_17"": 0.524, ""mV_18"": 0.3004, ""mV_19"": 0.1096, ""mV_20"": 0.0703}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,7,ok,nie_dotyczy,1.0,1.0,1.0,0.8124462972007876,51,brak,,"mV_6,mV_11",2,1.2682643767587325,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.4769, ""mV_1"": 0.4745, ""mV_2"": 0.279, ""mV_3"": 0.1102, ""mV_4"": 0.0302, ""mV_5"": 0.0276, ""mV_6"": null, ""mV_7"": 0.1608, ""mV_8"": 0.2131, ""mV_9"": 0.2526, ""mV_10"": 0.2509, ""mV_11"": null, ""mV_12"": 0.1772, ""mV_13"": 0.2914, ""mV_14"": 0.3628, ""mV_15"": 0.3633, ""mV_16"": 0.3729, ""mV_17"": 0.5533, ""mV_18"": 0.9766, ""mV_19"": 1.2683, ""mV_20"": 0.931}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,8,ok,nie_dotyczy,1.0,1.0,1.0,0.7463779682947297,51,brak,,"mV_5,mV_15",2,1.649759582131015,brak istotnego odchylenia,0.0,Werdykt OK: brak zmierzonego pasma przekraczającego próg anomalii.,"{""mV_0"": 0.6077, ""mV_1"": 0.7817, ""mV_2"": 0.5049, ""mV_3"": 0.1892, ""mV_4"": 0.0851, ""mV_5"": null, ""mV_6"": 0.4493, ""mV_7"": 0.731, ""mV_8"": 0.8905, ""mV_9"": 0.9838, ""mV_10"": 1.0561, ""mV_11"": 1.2554, ""mV_12"": 1.5691, ""mV_13"": 1.6498, ""mV_14"": 1.1276, ""mV_15"": null, ""mV_16"": 0.2749, ""mV_17"": 0.3795, ""mV_18"": 0.4449, ""mV_19"": 0.4635, ""mV_20"": 0.2811}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,9,ok,nie_dotyczy,1.0,1.0,1.0,0.7835652302999516,51,6–9 kHz,"mV_6,mV_7,mV_8,mV_9",,0,2.1866081563232993,obniżona,0.0,"Werdykt OK, ale najsilniejsze lokalne odstępstwo występuje w paśmie 6–9 kHz; amplituda jest obniżona.","{""mV_0"": 0.9742, ""mV_1"": 0.9285, ""mV_2"": 0.7886, ""mV_3"": 1.1093, ""mV_4"": 1.4882, ""mV_5"": 1.8011, ""mV_6"": 2.0255, ""mV_7"": 2.1461, ""mV_8"": 2.1866, ""mV_9"": 2.0861, ""mV_10"": 1.8353, ""mV_11"": 1.6355, ""mV_12"": 1.6694, ""mV_13"": 1.8126, ""mV_14"": 1.9176, ""mV_15"": 1.9244, ""mV_16"": 1.8424, ""mV_17"": 1.7643, ""mV_18"": 1.7682, ""mV_19"": 1.8742, ""mV_20"": 1.4632}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
test_0000,10,ok,nie_dotyczy,1.0,1.0,1.0,0.7273202583148975,51,2–4 kHz,"mV_2,mV_3,mV_4","mV_5,mV_18",2,2.9810301623152986,podwyższona,0.0,"Werdykt OK, ale najsilniejsze lokalne odstępstwo występuje w paśmie 2–4 kHz; amplituda jest podwyższona.","{""mV_0"": 0.9686, ""mV_1"": 1.4043, ""mV_2"": 2.1369, ""mV_3"": 2.981, ""mV_4"": 2.4043, ""mV_5"": null, ""mV_6"": 1.8396, ""mV_7"": 2.2163, ""mV_8"": 1.8351, ""mV_9"": 1.3755, ""mV_10"": 0.8968, ""mV_11"": 0.6069, ""mV_12"": 0.5204, ""mV_13"": 0.6808, ""mV_14"": 1.2129, ""mV_15"": 1.9487, ""mV_16"": 2.4608, ""mV_17"": 1.9206, ""mV_18"": null, ""mV_19"": 1.6686, ""mV_20"": 1.765}",False,ok,nie_dotyczy,1.0,1.0,0.0,,0
